Minisector,BOT,RIC,Fastest
0,294.3113880096323,288.035869542029,BOT
1,313.48004395789474,306.19044100315995,BOT
2,309.9727608231948,302.1220455527605,BOT
3,181.84126799375366,183.4948911674525,RIC
4,225.85193052232702,223.97395855238096,BOT
5,207.61240642180513,210.7720235159946,RIC
6,191.53593713310926,194.94907306229737,RIC
7,216.44678134012648,215.79035273315907,BOT
8,260.1329391432434,259.418403253068,BOT
9,258.12276183347655,265.67142765714283,RIC
10,173.03516568152438,175.31745929327826,RIC
11,243.18401292227267,239.70227739682662,BOT
12,116.96898852534514,119.06433340871347,RIC
13,232.29307392042494,228.37566258906529,BOT
14,280.60284101818183,275.66313791583053,BOT
15,283.3627148066416,282.77559517229435,BOT
16,202.80831247553365,213.72502749377512,RIC
17,185.3456174401494,184.49293046580087,BOT
18,273.8160457606625,270.24306295425964,BOT
19,301.5174804837571,296.50375034666666,BOT
20,314.80630952380955,307.7986102510499,BOT
21,310.97184508190475,308.59880924444445,BOT
22,262.7469549938087,275.8195618838023,RIC
23,118.83280271890143,117.65828647821637,BOT
24,248.22396413833212,239.4771177048236,BOT
25,279.0500032,272.4,BOT
