Minisector,SAI,KUB,Fastest
0,279.72748651779284,278.2223311213078,SAI
1,241.6112927780246,240.1629154578626,SAI
2,274.1283419143341,264.90117955440155,SAI
3,290.96949863851086,280.2075413430293,SAI
4,121.34469263622398,121.42461392463332,KUB
5,210.7313845650746,210.60787918006395,SAI
6,271.75096547293776,264.66653620805374,SAI
7,305.0759879319455,287.0203236773808,SAI
8,321.3624998857143,296.5557292,SAI
9,328.4314262975549,299.2313725490196,SAI
10,290.6056563620944,275.1994600550233,SAI
11,96.57046441637486,94.41377546880133,SAI
12,224.60216687299535,215.9095782961636,SAI
13,274.7416780281188,264.8618437817453,SAI
14,269.5516132467224,267.3994639262881,SAI
15,126.07601463940436,124.79906641664472,SAI
16,198.75138930301853,198.410586100706,SAI
17,256.8552332280744,252.55418991659974,SAI
18,256.3640354807018,252.0072155303154,SAI
19,248.3602080981344,247.12303885183087,SAI
20,147.10184026200247,150.30763117058908,KUB
21,190.72960609362508,180.0951355999125,SAI
22,165.76162504697822,164.20320596545812,SAI
23,189.22469221709204,182.17164719857553,SAI
24,252.86363201540303,243.97487691964358,SAI
25,,267.07916693333334,KUB
