Minisector,ALB,GAS,Fastest
0,274.54157443500543,284.0581403022999,GAS
1,224.73142248253967,230.61822268157349,GAS
2,113.81660531097151,112.85404387382829,ALB
3,195.04874457245853,199.05577893238322,GAS
4,176.73219806190477,171.27196793764747,ALB
5,222.06060606060603,218.99910652698415,ALB
6,271.7523812010025,284.36282688,GAS
7,287.57747495137846,309.2213538666667,GAS
8,175.34709826190476,174.29120028629148,ALB
9,126.66145373116254,122.54665800103211,ALB
10,134.57151787048562,136.12687228460354,GAS
11,200.28914845421244,197.06243609091908,ALB
12,212.3000489781049,203.40372570299823,ALB
13,130.82509665547386,130.78775871029978,ALB
14,148.07864567854725,138.07232379614123,ALB
15,130.92293927847257,137.48126365895743,GAS
16,251.5471654893424,263.04217314890593,GAS
17,137.6781339983017,138.29391071462112,GAS
18,205.76311802469135,206.3712882346589,GAS
19,130.81777448883417,127.42887099297145,ALB
20,151.80453059486365,141.64018030422022,ALB
21,126.53921503583909,125.10427645725278,ALB
22,155.34756684817927,159.13555239249638,GAS
23,218.94228301552195,216.24166634666668,ALB
24,237.6446428952381,238.40136931277794,GAS
