Minisector,LEC,PIA,Fastest
0,308.9438986666667,306.7930655466667,LEC
1,175.1822594265971,206.76407927395863,PIA
2,145.29107097035993,146.16713702538397,PIA
3,225.49443523255295,225.02483744415585,LEC
4,165.3297992778408,171.1499205912243,PIA
5,183.3980043460809,182.63354180937142,LEC
6,255.0260668803669,252.80336591336345,LEC
7,280.9062052113815,278.08694067221154,LEC
8,288.5651313131313,287.6247796001411,LEC
9,259.98495220184736,257.032434754958,LEC
10,242.97275479264482,233.4548077807107,LEC
11,244.17825081342173,237.01655899247166,LEC
12,193.69730089636582,202.54950322327767,PIA
13,124.84145091536968,129.73662363273368,PIA
14,132.9182449711931,141.6102740574391,PIA
15,171.6798328991839,166.96204478588754,LEC
16,246.4259090909091,244.0530715348687,LEC
17,231.106865362387,253.52427399495912,PIA
18,112.311817801879,117.43867331598445,PIA
19,203.18205074157333,193.1113568614165,LEC
20,203.5695675768295,207.74373217941036,PIA
21,239.75873718816283,230.9288318731185,LEC
22,267.8830533448812,262.90000563668474,LEC
23,287.8355617538513,284.7706179104762,LEC
24,300.9623241861229,298.7153004206715,LEC
25,306.9562496,304.48750015999997,LEC
