Minisector,BOT,NOR,Fastest
0,291.7408331073016,311.01084623845816,NOR
1,300.9214582577778,324.9358980923077,NOR
2,308.04222236444446,333.1825551355311,NOR
3,303.85576974065935,337.7315478349206,NOR
4,201.3498621104204,210.73597177281877,NOR
5,100.58290102511144,90.30951135734989,BOT
6,203.53074010655146,190.55412786960056,BOT
7,255.96169713115748,251.65567320560223,BOT
8,281.56502901904764,272.1111115377778,BOT
9,293.1158340266667,280.722180291155,BOT
10,152.16643479450215,152.9585977904762,NOR
11,178.94710010434784,168.1130577545517,BOT
12,240.173012255087,233.40789535438594,BOT
13,238.69128561827677,235.6674798275689,BOT
14,155.20997085714288,147.8060919389453,BOT
15,208.62582421379278,212.31178768761907,NOR
16,258.6544259809524,262.0476199809524,NOR
17,280.35572886666665,281.3982767871759,NOR
18,292.52562065411087,284.6172221155556,BOT
19,299.844539790821,291.01527815111115,BOT
20,286.290120584127,283.24160406904673,BOT
21,152.6294130772231,146.46566532668004,BOT
22,206.76179398487082,210.53968518095238,NOR
23,256.44936920560224,262.49789427904966,NOR
24,279.68086751544206,285.4583338666667,NOR
25,,293.7062512,NOR
