Minisector,STR,OCO,Fastest
0,263.08880179753936,259.68195693524035,STR
1,246.81975237530864,239.2350978503401,STR
2,166.87639880298678,159.31001238498462,STR
3,249.31113540347383,245.22547953813702,STR
4,267.52283332266666,268.56983327085715,OCO
5,194.89101303045385,186.18690517333334,STR
6,125.18331752700695,121.09792780883846,STR
7,153.90257701220304,153.39265866666668,STR
8,255.92899856112533,253.83749952,STR
9,190.05398093924305,174.61239056842103,STR
10,178.2116280951678,177.00035327011582,STR
11,256.8089443039255,252.02774550191222,STR
12,241.10219352382214,232.90429807228998,STR
13,255.0390154120175,256.59466662399996,OCO
14,280.02741054617053,283.3303046062374,OCO
15,286.30929094765503,276.57033344,STR
16,151.43169197006708,142.96499894466882,STR
17,236.20874614610628,235.41669500619597,STR
18,282.0587426289539,282.02130098423413,STR
19,294.71819353706,295.65833335873015,OCO
20,299.2530303515152,298.9378253234021,STR
21,302.57007573333334,299.0022727272727,STR
22,159.45719315582434,149.2714096009653,STR
23,92.51332017875141,93.11372506840537,OCO
24,185.14868744290592,179.83779233261123,STR
