Minisector,ALO,STR,Fastest
0,305.01745774500745,301.6878595440116,ALO
1,320.3596708892022,319.8206765171501,ALO
2,295.8984970739459,295.48069030647343,ALO
3,107.29747213023245,108.54423284930556,STR
4,225.30899023785105,228.20476550464858,STR
5,269.3506904637129,275.1486798708075,STR
6,200.57784201743146,190.48233595269232,ALO
7,169.58720512571736,166.48199236323637,ALO
8,210.27363254300545,199.6259517598861,ALO
9,223.32169869208738,212.27542411954647,ALO
10,119.69367633050504,115.90322925873012,ALO
11,232.61242946620953,221.87373141312023,ALO
12,120.49891511062164,110.58718965730871,ALO
13,221.02099017665657,232.44031270909602,STR
14,273.0197513586147,286.0998321395932,STR
15,217.38326257161197,206.41375563848544,ALO
16,201.9737887529837,204.14507775426222,STR
17,255.486125401378,243.11697636053592,ALO
18,203.76796258445975,191.53166277568542,ALO
19,203.80404447227053,195.78025301752942,ALO
20,263.75234277626595,265.92953513454546,STR
21,286.5757653659864,288.66368519181583,STR
22,167.8370743297805,164.00013356782094,ALO
23,208.29103046174396,224.02630287881883,STR
24,270.17861321187524,273.4672492292977,STR
