Minisector,HAM,VER,Fastest
0,229.64199085243456,233.08766474168985,VER
1,283.10231314365245,292.39986255999196,VER
2,297.87866670933334,315.6174219175361,VER
3,304.58596643963284,322.6738197241897,VER
4,271.6456239341817,282.5283086531768,VER
5,165.26972466362332,162.66177797742145,HAM
6,260.26106306206896,259.13605837250395,HAM
7,272.30464742564106,273.85116663466664,VER
8,214.31591415717,215.3993762969548,VER
9,219.11568832403523,218.51136664988113,HAM
10,186.1044411785899,177.54699671993984,HAM
11,219.10643988686869,220.82430283240328,VER
12,207.52940678098523,197.98479859204687,HAM
13,216.8894718052798,206.68086547547222,HAM
14,219.0596272881966,211.92386556695263,HAM
15,183.5554973305098,178.9608724284812,HAM
16,245.45367337398474,242.97694892366277,HAM
17,284.61950057319115,284.4058378408244,HAM
18,295.6530000213333,300.37045221790476,VER
19,282.71269095009524,284.91864312685715,VER
20,131.9601068827514,129.1007642979292,HAM
21,162.78358778671202,157.08013979251703,HAM
22,150.62896800087856,148.11535593650467,HAM
23,211.56456618139524,201.3293248947975,HAM
24,143.87127023996123,144.16391362956216,VER
25,178.93332906666666,,HAM
