Minisector,HAM,HAD,Fastest
0,288.71410527556327,280.42188096628036,HAM
1,306.72585375682087,287.62189117254525,HAM
2,280.64413037905734,273.3648128051098,HAM
3,176.68641736375005,175.85185250524708,HAM
4,116.53271243720155,116.1198155366723,HAM
5,236.4076619861336,243.08815321356963,HAD
6,297.7862333899473,285.2991605042424,HAM
7,309.2454801195959,293.2631200965996,HAM
8,166.14552002301684,178.2375408157872,HAD
9,137.32006460906086,138.80106169704024,HAD
10,251.62079445056312,255.90482308313358,HAD
11,290.12497498169466,291.962250112,HAD
12,294.7670213458643,293.1491540095408,HAM
13,271.65309410890046,266.96987085371427,HAM
14,286.23803031757575,281.26757142857144,HAM
15,278.2456551420583,276.43307166333966,HAM
16,239.56894006440797,246.96794871794873,HAD
17,221.90941196048547,218.6612547448889,HAM
18,274.3643791258321,274.29189033189033,HAM
19,299.33437541149635,297.2082918327019,HAM
20,307.00231670022674,298.0079365079365,HAM
21,219.4931019683975,232.94656505469388,HAD
22,243.03984935114408,237.19972789597796,HAM
23,134.26614704486173,134.20392606121962,HAM
24,202.3629747661439,201.81328826188798,HAM
25,254.6750016,258.92777955555556,HAD
