Minisector,VER,BOT,Fastest
0,277.9276960627451,274.7262958341737,VER
1,299.6297224533334,298.5689775219076,VER
2,310.9265625333333,311.7969444977778,BOT
3,317.81904754285716,319.51645417142856,BOT
4,321.66547619047617,324.2341411918368,BOT
5,322.1596846581734,324.9509006863232,BOT
6,199.52280827733333,203.02518729696968,BOT
7,112.1798854441113,112.77184758741697,BOT
8,193.65094353015874,194.95297727867495,BOT
9,266.23564115975194,264.3576845275815,VER
10,292.3367462704762,293.66328132380954,BOT
11,159.09692345396826,168.68693575089276,BOT
12,103.37858018138436,101.71498127180833,VER
13,123.06084653968254,119.70998510673951,VER
14,220.76771106449416,226.3315279822222,BOT
15,195.1539607173875,198.893735032788,BOT
16,234.15232561718983,238.34906039743154,BOT
17,185.16910840222326,193.45342748923272,BOT
18,244.69117647058823,246.28926550751396,BOT
19,282.62086884553355,283.8133937047619,BOT
20,249.61104650165467,261.2019608470588,BOT
21,150.63745983748183,147.1573729096393,VER
22,102.80251875221443,101.88071241126792,VER
23,130.7584498270775,131.31883807117623,BOT
24,230.33207382800063,230.55812581333333,BOT
25,259.03333546666664,,VER
