Minisector,SAI,VET,Fastest
0,260.90882352941173,261.01911767843137,VET
1,135.0827144802577,132.28531639693148,SAI
2,195.25463530199323,191.64877778932862,SAI
3,243.91484593837535,244.0456582633053,VET
4,259.9450385134029,261.21222222222224,VET
5,184.6173218024652,182.0805147885206,SAI
6,152.57786600070546,144.789594356261,SAI
7,185.42283182129142,179.13550759884058,SAI
8,103.66576454971947,103.07502919210222,SAI
9,79.1596799921428,79.14872791754344,SAI
10,93.62398021485409,93.30910761089173,SAI
11,179.75371397813785,177.08451546969638,SAI
12,245.2406191283469,243.2010274180858,SAI
13,267.5584126984127,268.3377777777778,VET
14,280.10087876158485,280.07444444444445,SAI
15,121.25864428464294,123.25091538259582,VET
16,142.58571820241698,130.04216288507936,SAI
17,194.93076280762193,195.02751886723345,VET
18,198.22511904761905,196.3025,SAI
19,220.00119248117622,213.7223491231366,SAI
20,131.83569177946262,133.2057337190746,VET
21,117.55610667740883,121.26589889840339,VET
22,93.30744299810338,90.15691277575758,SAI
23,195.80000096507933,191.70686723541402,SAI
24,246.7794159922542,247.171568627451,VET
25,,259.6375008,VET
