Minisector,RIC,STR,Fastest
0,275.4492542125004,276.24189986938774,STR
1,296.0349047649524,298.5210548733654,STR
2,290.59625394711196,289.9912143908571,RIC
3,175.91100591498258,177.51160070889938,STR
4,115.85398477796868,115.40226316130624,RIC
5,236.49045646451611,234.27446110967742,RIC
6,279.6546471794872,283.0934466472836,STR
7,284.69583372307693,292.23516727466665,STR
8,177.39938421165832,170.67438756039277,RIC
9,140.13882409646754,139.53162320540298,RIC
10,250.7514363218391,249.14047493333334,RIC
11,288.1347586506899,289.6902699999169,STR
12,296.46789117584933,302.2971668906667,STR
13,285.03297621333337,272.9121452882649,RIC
14,295.15711429406144,292.75992826514283,RIC
15,291.8878573714286,299.9213907720403,STR
16,253.2199326672495,245.5478315403994,RIC
17,226.03111933333332,212.61059643584238,RIC
18,274.5951073082995,274.933012225641,STR
19,294.51924590476193,298.7979962001941,STR
20,301.56927079999997,297.01602466172847,RIC
21,232.4732404379936,224.50616860958638,RIC
22,254.1777492414509,250.9647125310094,RIC
23,135.5650887319716,135.1847779710789,RIC
24,213.02029715209065,210.51760377882948,RIC
25,,258.0166656,STR
