Minisector,OCO,ZHO,Fastest
0,289.16738056272106,287.99708257829485,OCO
1,299.47208065274174,296.7718796062156,OCO
2,280.71384165502644,278.6314242266474,OCO
3,108.99502717284054,105.76234073035629,OCO
4,219.85578369836574,219.13095024344594,OCO
5,269.85572746909344,268.71025074444447,OCO
6,200.92771716813027,208.5646168739243,ZHO
7,160.0238387956044,158.26120240348266,OCO
8,208.13359860691233,206.33993446062377,OCO
9,213.28547295510876,211.27556633540846,OCO
10,113.46885696351477,117.64745248840505,ZHO
11,223.03209423622897,226.43577745230772,ZHO
12,115.63283374432403,117.30384807433558,ZHO
13,214.58013420694863,219.13386080361082,ZHO
14,272.1550916765368,271.06461767238096,OCO
15,215.00387731301586,213.317915177523,OCO
16,185.75507524390025,179.70179943969697,OCO
17,248.91491993256437,242.3703090213423,OCO
18,202.3136629004762,202.54237614967744,ZHO
19,165.73098728556997,175.88686225211228,ZHO
20,261.6991801216529,258.5123952474074,OCO
21,286.19536685764035,283.50462460665204,OCO
22,173.40580064837465,169.07040001007718,OCO
23,198.07137094618258,205.1149499628118,ZHO
24,266.7330948063492,268.5080848083238,ZHO
25,,281.3416661333333,ZHO
