Minisector,HUL,GIO,Fastest
0,277.7659712888889,271.8126738222222,HUL
1,297.4413417993586,288.4733134610969,HUL
2,225.92428443218392,222.64166569195402,HUL
3,125.97348679756229,126.9149977458458,GIO
4,184.79255221329777,183.74460122740035,HUL
5,120.76017936728347,121.6591281866755,GIO
6,206.7605057835686,209.29019341291573,GIO
7,257.25462463223283,258.3929185128814,GIO
8,177.3083761615331,176.39738527137538,HUL
9,179.42388204004203,177.84226319937258,HUL
10,265.05572848888886,261.0945687238095,HUL
11,190.48161745287157,190.65650589311795,GIO
12,160.00855124926412,163.32675505964912,GIO
13,258.84455933525066,254.27806575339358,HUL
14,276.84897151861475,269.0992808634921,HUL
15,289.8682288577707,282.6809572003547,HUL
16,201.0963535385561,202.391369,GIO
17,185.93301568936172,193.94605654761904,GIO
18,244.34799803733335,238.56408789559083,HUL
19,285.852868561446,278.0085507246377,HUL
20,296.82777771247163,288.7465639203463,HUL
21,201.2363537419694,211.9239787825241,GIO
22,144.74465135167054,144.77836898870433,GIO
23,155.24111262711116,156.5043160295884,GIO
24,227.9867710828892,221.83404691452486,HUL
25,262.8838143332267,258.22857142857146,HUL
