Minisector,RIC,GRO,Fastest
0,273.90329634646906,273.0743558984127,RIC
1,291.1231061818182,292.83375158165256,GRO
2,222.7797265736563,231.75807464489796,GRO
3,129.60509225086523,124.3430187132654,RIC
4,186.31332673414,180.09564724428623,RIC
5,124.66590473349699,119.91669130037862,RIC
6,213.8192097924943,205.4586784340166,RIC
7,261.43458124094525,260.8618400602492,RIC
8,184.54098152926682,177.58393031941452,RIC
9,181.3831789468159,177.25121620765086,RIC
10,260.56448713815433,262.119668584127,GRO
11,189.17923401699045,184.28557566669872,RIC
12,166.945366144053,162.22038041904761,RIC
13,253.99231951765762,253.59208308146677,RIC
14,270.7831631278935,271.21671874782606,GRO
15,283.29563504761904,286.0860048737923,GRO
16,209.0208538381791,202.86885983655912,RIC
17,198.68489606666668,193.002264523306,RIC
18,245.87942896731923,240.31836559012348,RIC
19,282.33876860289854,280.9894485541126,RIC
20,292.3112251912993,292.5476193015873,GRO
21,197.86924679951605,197.9129872,GRO
22,151.09377632581177,139.33391645021646,RIC
23,157.0112500068564,154.70954015619841,RIC
24,228.06815295036475,219.0484443331255,RIC
25,260.8333333333333,256.6142857142857,RIC
