Minisector,PER,TSU,Fastest
0,250.63803089972313,250.41334078375723,PER
1,128.70575894398368,123.19604049282337,PER
2,257.54031985401554,259.84776449937857,TSU
3,297.80522379792586,304.1270347976,TSU
4,295.85741710512474,304.17733514432234,TSU
5,304.7141858105983,311.09455318574544,TSU
6,310.01573959969863,317.3273555683556,TSU
7,310.2651707821906,319.54070638526986,TSU
8,188.48116602081768,179.90679190793477,PER
9,192.31042137657306,185.70144434625334,PER
10,187.45751190266375,179.59814130610408,PER
11,169.1812352451723,161.55724845536622,PER
12,249.30527602333666,248.91603760900432,PER
13,270.2669237794264,271.1374771952442,TSU
14,272.1485861237732,269.7657913973333,PER
15,271.610202799093,266.14273502683983,PER
16,180.50124567609686,172.80031866711818,PER
17,177.98300647786624,180.61906929875167,TSU
18,231.9004931276551,227.59697084146939,PER
19,283.9648265358824,282.6441903604726,PER
20,305.90274386879406,308.1467787011389,TSU
21,313.87750630468133,316.2952164557715,TSU
22,315.06290749655676,316.6511001881992,TSU
23,258.75953294863103,266.04886264589,TSU
24,113.78669154201681,104.73134169419849,PER
25,,220.3781232,TSU
