Minisector,ALB,RIC,Fastest
0,276.18247177777187,283.48104149333335,RIC
1,293.1433332584734,309.790271993742,RIC
2,292.7834338285714,304.4296216918768,RIC
3,127.12613936225203,120.73402373037281,ALB
4,210.95503602051284,215.71866666666668,RIC
5,256.7246216242424,250.29253983962954,ALB
6,147.81626967637158,142.90705012406724,ALB
7,219.7635408,222.54432295590203,RIC
8,266.1055554031746,264.3194047085714,ALB
9,282.62543862857143,275.5807461619666,ALB
10,244.59380999619046,227.09944463705176,ALB
11,179.6420043784127,169.85682719683845,ALB
12,207.34873087383443,218.43853894638684,RIC
13,144.86030739649124,139.33317597475718,ALB
14,185.50104923180095,182.77694938964825,ALB
15,173.42693604236487,172.85830791769982,ALB
16,226.82430647890575,238.93672770874707,RIC
17,238.49231395776397,229.69783342933334,ALB
18,245.93613618721517,254.7232537539112,RIC
19,233.52066151111111,176.07048224520912,ALB
20,152.29081397767243,173.71814037748436,RIC
21,135.76382371837494,127.67706524559874,ALB
22,182.98762036457967,173.33743026071775,ALB
23,156.8635844455756,179.10921532425542,RIC
24,237.24289340874776,243.5669641142857,RIC
