Minisector,ALB,STR,Fastest
0,257.845500054881,252.65856504527576,ALB
1,209.16110584761904,206.47441989177204,ALB
2,217.2010720136668,216.19045992397696,ALB
3,261.77403831794874,260.343011495445,ALB
4,276.4433710010241,275.0070869354307,ALB
5,224.37761172493248,224.59568421022158,STR
6,96.31874763410815,96.43010944370452,STR
7,183.88852575294482,176.69251735827217,ALB
8,268.6954229343015,264.169980430634,ALB
9,290.4425345777778,286.5071725073903,ALB
10,298.7719202782609,295.0298912463768,ALB
11,293.30185544032815,294.47532723605144,STR
12,110.41165702342684,144.28448760971816,STR
13,214.62982275003128,213.35950482951554,ALB
14,276.7666196485034,273.83584302912425,ALB
15,296.6190896758495,292.51156871777613,ALB
16,225.92368521255383,199.80025126818614,ALB
17,124.08642771682554,117.12785081786711,ALB
18,154.20515445194803,154.8826997277398,STR
19,254.22154432320062,253.70796476617465,ALB
20,161.02600371036593,149.16158979447803,ALB
21,129.23707913043603,124.69596671307032,ALB
22,201.42219000871464,206.4212605661339,STR
23,209.56768708257897,200.83961074126023,ALB
24,168.26094404619786,162.90858041376077,ALB
