Minisector,ALO,MAG,Fastest
0,292.0106045393863,292.38270393564335,MAG
1,303.51420102930484,301.8495505676191,ALO
2,307.0,303.9126334667342,ALO
3,189.64600047217553,189.37337990231532,ALO
4,215.55788652033584,206.41183046875614,ALO
5,200.36334099520525,202.45614101482153,MAG
6,264.7920309327581,263.93540349213487,ALO
7,263.1679628495238,256.5779605140822,ALO
8,211.30212144390313,204.91216266879556,ALO
9,214.1219876120935,193.6972653378055,ALO
10,141.84987012311225,147.03984972538336,MAG
11,205.60517904078932,187.74426852448013,ALO
12,177.92287688565656,190.54781343379292,MAG
13,254.85885851531262,254.94309899550913,MAG
14,182.35970196640693,178.49239427045038,ALO
15,232.39632304060987,234.84214759764293,MAG
16,280.9663488686659,281.670267928658,MAG
17,292.34336174787876,289.95594387079717,ALO
18,286.85178592,277.81147681391303,ALO
19,266.397415814026,261.8434625372059,ALO
20,261.0465392164102,261.59422035240004,MAG
21,263.7905966471692,256.6171089167332,ALO
22,232.36016083536742,226.59474277162826,ALO
23,204.80189446220967,203.74272580658308,ALO
24,269.37308906666664,269.09329351053026,ALO
