Minisector,SAI,TSU,Fastest
0,291.392916003013,291.93988909259815,TSU
1,299.0873096247042,301.8946348552109,TSU
2,278.5690363120181,280.67648032484846,TSU
3,105.3680632800944,107.71407018849969,TSU
4,221.16313132986124,214.8843860393211,SAI
5,271.419590461244,277.03810639294164,TSU
6,203.14144887194342,206.15152001315883,TSU
7,162.69272714047793,153.52280864664223,SAI
8,210.0443902373757,203.9958087036206,SAI
9,223.85535425008484,215.06275004470095,SAI
10,115.31720043379467,111.7917463108583,SAI
11,227.66903997478406,223.46104788212372,SAI
12,120.3104995037242,111.17378590992884,SAI
13,216.14306076807725,220.7575292542338,TSU
14,275.164118980279,286.48258396998557,TSU
15,215.24980251143595,207.6873467797672,SAI
16,189.14195984728923,184.45287006243385,SAI
17,251.90555586287678,243.93801787674718,SAI
18,203.72559896194429,196.00737545389356,SAI
19,170.21049595353875,170.58194596764727,TSU
20,261.49005563233237,262.9165483849275,TSU
21,285.91242507106494,288.108494660659,TSU
22,170.27872908197511,166.78011846690862,SAI
23,207.08523318659698,205.9568615832749,SAI
24,269.9920711580806,273.68554370178356,TSU
