Minisector,NOR,BOT,Fastest
0,292.72171665864107,287.5964740166739,NOR
1,304.71690417430244,296.98196944484846,NOR
2,305.9582427134499,293.68499002833056,NOR
3,189.24847954955703,182.47751751156466,NOR
4,209.18699232897802,204.31072307588792,NOR
5,203.85310341879352,207.72104783272388,BOT
6,263.21517455223494,261.9166556457729,NOR
7,254.3537356982857,251.42726909312765,NOR
8,205.98980607778245,200.41113966067826,NOR
9,205.35594916040435,211.53297257094985,BOT
10,145.15102444843538,136.15648769851458,NOR
11,198.19108567783053,206.85891275065413,BOT
12,181.40592821824066,177.9759633464447,NOR
13,246.986214230303,243.5030268530562,NOR
14,175.22948646651923,175.85983947736244,BOT
15,238.04087352002952,227.73511215241362,NOR
16,275.58067192066113,272.91575648447997,NOR
17,279.0832797931429,274.3124088193407,NOR
18,272.7965607611561,251.30460768866132,NOR
19,260.3255424360173,242.15163799533127,NOR
20,261.9654312765318,247.0923669034921,NOR
21,262.51228870960114,252.50665234112373,NOR
22,221.13862761830674,237.6059235899882,BOT
23,203.05588855057192,191.5380302571453,NOR
24,269.40133269895784,263.560935994643,NOR
25,284.37142857142857,279.11999936,NOR
