Minisector,OCO,STR,Fastest
0,280.8116851749074,281.86556722096327,STR
1,144.15493356305123,139.0042937082666,OCO
2,214.4864761264814,212.1649866601271,OCO
3,277.3147905709037,277.73222816646285,STR
4,305.41287465109355,308.9545157757098,STR
5,295.87080676557076,295.5665526090386,OCO
6,148.06093137095516,149.2090669931654,STR
7,229.15894110751836,237.122932436434,STR
8,105.73981210014101,109.43240308741723,STR
9,165.7957284410993,165.85606131354572,STR
10,276.7935286633336,274.7235457475063,OCO
11,292.87024595613747,296.22984059681784,STR
12,203.2301980043122,212.28759587238687,STR
13,173.6264261058366,176.39280187869596,STR
14,279.6836825141406,274.84661232014946,OCO
15,309.49422830973083,309.4782890592077,OCO
16,321.90144654922364,321.7119550542684,OCO
17,328.6225031974153,328.7764244653134,STR
18,329.36189680725573,330.76561669523807,STR
19,323.1653737338252,325.54113998468193,STR
20,183.41023676375457,191.9668485634354,STR
21,184.2619938854531,170.5395948715453,OCO
22,279.97610108321993,281.06426849326704,STR
23,311.451996874181,310.5553417146705,OCO
24,319.4655435107976,318.3391001134732,OCO
