Minisector,VER,HAM,Fastest
0,277.9276960627451,275.2705498617914,VER
1,299.6297224533334,300.64130116923076,HAM
2,310.9265625333333,313.91932588698415,HAM
3,317.81904754285716,322.85633924568606,HAM
4,321.66547619047617,327.6526985567006,HAM
5,322.1596846581734,323.71471031292515,HAM
6,199.52280827733333,199.19629560154465,VER
7,112.1798854441113,108.15533606027451,VER
8,193.65094353015874,189.15306465988672,VER
9,266.23564115975194,259.9743066074074,VER
10,292.3367462704762,287.6915706986775,VER
11,159.09692345396826,164.456479480776,HAM
12,103.37858018138436,97.3557124103671,VER
13,123.06084653968254,118.78968274435182,VER
14,220.76771106449416,222.6537276234241,HAM
15,195.1539607173875,190.18173619957528,VER
16,234.15232561718983,221.8701485714286,VER
17,185.16910840222326,179.86771849738258,VER
18,244.69117647058823,236.44363081904763,VER
19,282.62086884553355,278.8802326936934,VER
20,249.61104650165467,241.28815859649126,VER
21,150.63745983748183,144.36342722150482,VER
22,102.80251875221443,100.6792310578748,VER
23,130.7584498270775,127.54333302857142,VER
24,230.33207382800063,228.55659236423375,VER
25,259.03333546666664,259.28333226666666,HAM
