Minisector,NOR,OCO,Fastest
0,288.9807528235615,301.34393011757714,OCO
1,301.3560127612174,315.90979157333334,OCO
2,305.67104165333336,323.03608394147966,OCO
3,306.9124615171006,319.9333041066667,OCO
4,246.29971690931677,183.12830333476353,NOR
5,194.55693818902503,220.64353931553754,OCO
6,258.1581784937098,268.91155287272727,OCO
7,279.2325672778504,264.6108661003951,NOR
8,214.2519598618502,184.62330773333332,NOR
9,211.23964029729382,148.4188940185361,NOR
10,136.67105703198547,186.85317754448621,OCO
11,246.3158143971812,261.66613966589813,OCO
12,275.91111175247016,248.048230553887,NOR
13,218.15351667640257,230.07439670304905,OCO
14,262.2002417366886,267.36117415757576,OCO
15,226.55921035910424,171.4579485722919,NOR
16,181.37830044151244,223.57687345718662,OCO
17,258.584958402202,239.95457438650192,NOR
18,149.71004265494506,137.96076003926487,NOR
19,207.8007444442239,242.7087153858061,OCO
20,274.4152618402646,280.05892860952383,OCO
21,290.7227238130066,236.32848700412083,NOR
22,162.2436945016544,145.87801559957285,NOR
23,178.85373919146136,215.67330591811458,OCO
24,258.2976419248527,276.52698325148276,OCO
25,278.7375008,,NOR
