Minisector,SAI,PER,Fastest
0,289.7888158315789,294.81929835789475,PER
1,215.89194099858668,220.46321794801125,PER
2,140.9790507619146,143.99266935880155,PER
3,216.40707773727536,222.67114910116405,PER
4,149.63948955556882,157.34173924200945,PER
5,173.3418596241818,171.30914590736032,SAI
6,246.67023842539683,247.49787307597745,PER
7,269.22003951746035,270.9081251047619,PER
8,275.4412949370197,279.2763157894737,PER
9,246.74226133333335,263.41589216761906,PER
10,233.32155733333335,243.20963777300648,PER
11,233.17567513273772,243.34118373330597,PER
12,204.4575692380178,206.69445833284396,PER
13,138.151121667523,139.28027277254773,PER
14,144.7201643944329,150.86604309426266,PER
15,179.58602941271354,188.00467811691098,PER
16,250.97499900952383,257.40980816497296,PER
17,243.40332202822398,228.6556169701559,SAI
18,114.51125400415657,117.47419784025892,PER
19,195.03993138977498,202.52697460990314,PER
20,191.40160844857513,193.57598552214043,PER
21,227.95900674120082,234.20255654996427,PER
22,259.60053861801157,264.91867934331066,PER
23,275.5608691582585,281.18303219540064,PER
24,284.52675447017543,290.3668982518518,PER
25,286.85,,SAI
