Minisector,LEC,ALO,Fastest
0,281.16509490784756,279.6309051410728,LEC
1,140.9995821873924,140.6585698095724,LEC
2,218.09368299109232,206.03044375211837,LEC
3,284.83063833925235,272.6661026150111,LEC
4,320.9527356735352,319.3695917187527,LEC
5,307.28530653998047,279.67178967965583,LEC
6,149.15110610492636,143.48202146572504,LEC
7,237.45472132155626,244.25330918489678,ALO
8,108.35926835580719,107.02770153107903,LEC
9,172.0599299017348,167.1927667380341,LEC
10,280.8129018685278,275.995885060228,LEC
11,302.03925061776664,298.12201784135067,LEC
12,210.96826513572393,220.79748058168497,ALO
13,175.074268743971,172.3505668343518,LEC
14,281.7168758717616,269.60302901759997,LEC
15,313.77793449858586,310.1810006348511,LEC
16,326.2399648386755,321.6224610682844,LEC
17,335.29543187704695,331.7702616129032,LEC
18,345.79902214659035,340.6501119510216,LEC
19,351.80381268600956,345.23959526019047,LEC
20,197.1143704343999,166.2832801345839,LEC
21,158.185010225235,180.63563951719078,ALO
22,276.7993358743928,282.57765143334643,ALO
23,310.46114530211514,313.02180715870827,ALO
24,319.3692495455704,323.62163066069945,ALO
