Minisector,PIA,ALB,Fastest
0,276.69786805333337,276.16905512072253,PIA
1,297.9681693881097,297.73211071515215,PIA
2,298.8135861312253,297.40263543191156,PIA
3,174.37441925358956,176.3954887433739,ALB
4,118.94723244166845,115.6744517679884,PIA
5,238.63385195539394,235.97798065588287,PIA
6,282.27897606278685,279.50344306056,PIA
7,298.6317080888889,293.92588949903876,PIA
8,184.7638039452754,184.27835937842295,PIA
9,144.7187463493283,133.95479255346433,PIA
10,255.2849998206061,249.28700313668014,PIA
11,291.1423351209975,288.16959250351965,PIA
12,305.1365252593513,304.1649073750049,PIA
13,290.33402459447007,285.40046034052983,PIA
14,298.9018195453291,297.1804265628241,PIA
15,302.1432737834921,302.0656817131313,PIA
16,268.69505676045435,258.10859286210814,PIA
17,239.71040563809524,228.81043589359064,PIA
18,281.64933515948076,281.24880667610194,PIA
19,300.9000642225245,298.2896149787868,PIA
20,307.93000039921884,306.61895990924756,PIA
21,252.35149865306124,241.5418581007238,PIA
22,268.59103598985973,261.0162386869662,PIA
23,138.48394211658223,144.2697972647208,ALB
24,220.39794280290832,211.58309355805775,PIA
25,,258.6500010666666,ALB
