Minisector,KVY,RAI,Fastest
0,299.59440810232144,299.79050558476195,RAI
1,317.87493704661654,319.19801488401635,RAI
2,327.22753560238846,328.6804899737281,RAI
3,325.7962728421053,332.6092106105263,RAI
4,186.13104146972273,194.1512159769809,RAI
5,225.7687221366967,222.0858384826602,KVY
6,273.7405806119177,270.1888861985745,KVY
7,266.3660636289855,281.76765049962785,RAI
8,190.40706817851165,192.04589293783113,RAI
9,152.17994325101694,159.20901215277527,RAI
10,190.249337932584,185.084796976526,KVY
11,264.0865076133256,262.6821165449275,KVY
12,253.7617242282399,256.1112305783039,RAI
13,228.37113819524416,223.36234384463182,KVY
14,269.34588705108223,273.2674240484848,RAI
15,177.06963823548554,180.09459214037162,RAI
16,228.5395056103963,216.96667050865227,KVY
17,254.501993778882,252.55471959836012,KVY
18,138.01722543010817,135.18594659312103,KVY
19,245.4769068153489,237.08875833553114,KVY
20,286.3679919030303,280.8644771247715,KVY
21,260.10654910807455,269.9399032577304,RAI
22,146.46291647484873,145.14922589443879,KVY
23,214.53120679007762,199.10864739911793,KVY
24,274.7493697934027,269.550151691961,KVY
25,289.8250016,286.6833326222222,KVY
