Minisector,PER,NOR,Fastest
0,294.6921589057326,292.4475,PER
1,296.8675438596491,289.36646836825395,PER
2,297.479443608638,278.27599212698414,PER
3,234.42567811638443,228.72056700524047,PER
4,238.29982697777777,231.97238142171426,PER
5,116.89174986755519,112.65966127644866,PER
6,220.06779163700753,224.05385726419752,NOR
7,269.55995637056276,273.182168530656,NOR
8,236.09000213333331,233.5036923062857,PER
9,117.34116683319613,114.30845300681939,PER
10,236.67059034273063,237.72783278933332,NOR
11,258.0843617108225,252.5389649742443,PER
12,140.98118154374473,135.96538073391403,PER
13,212.3438261728395,215.56554400000002,NOR
14,268.5675167419501,266.7621210666667,PER
15,229.12268634074076,229.5648144847253,NOR
16,161.38434777955138,157.37186477798983,PER
17,242.65362286376813,236.91842357639075,PER
18,128.7368824033553,125.67068941544818,PER
19,147.83117479751365,144.05552112761904,PER
20,191.99755673431858,183.5579806353217,PER
21,257.7399509193936,257.50634017391303,PER
22,275.1484068366888,274.95876266080165,PER
23,280.1897915504762,279.3869896707483,PER
24,289.4846540631649,288.8827066706767,PER
25,,292.925,NOR
