Minisector,TSU,BEA,Fastest
0,304.0512750248539,306.45488937168045,BEA
1,320.07628303265676,324.21136066400453,BEA
2,306.0425272180451,298.2931439438961,TSU
3,103.49258622274071,106.17561397998905,BEA
4,217.40053279963553,226.81058913481482,BEA
5,278.81261615472596,284.42500707312627,BEA
6,196.25144820081675,193.72685302883414,TSU
7,163.566786857545,161.11985423208216,TSU
8,202.2223258840688,197.6410176988701,TSU
9,215.0924270044544,209.44398479602486,TSU
10,112.29616810664022,105.49836517932695,TSU
11,224.34346150059324,223.36622302784423,TSU
12,114.2901723721392,114.81693740600028,BEA
13,219.2093277057724,226.1170233652777,BEA
14,275.6491073154887,287.11606573461876,BEA
15,212.39471410079224,203.87751760021703,TSU
16,182.30306052724953,182.413110864963,BEA
17,242.7664669111111,246.4763989565209,BEA
18,185.8249531771168,187.94213988054835,BEA
19,173.30012126747448,177.517452822972,BEA
20,260.2285390980545,264.47005143333337,BEA
21,287.71759785614216,290.0854658964163,BEA
22,156.40031983056258,168.70919418821092,BEA
23,204.97278929310886,210.27129736105863,BEA
24,269.94384954276404,275.8833103300053,BEA
25,283.55000106666665,294.6348546748162,BEA
