Minisector,LEC,NOR,Fastest
0,291.35781564773106,296.0907203552655,NOR
1,296.0592229387645,302.8024150974387,NOR
2,156.07966926550102,150.91271980130153,LEC
3,219.57361885575756,221.03627418548953,NOR
4,270.90505636029627,278.5010917121195,NOR
5,291.730780390056,303.2960168205128,NOR
6,301.0815441813853,316.3901255927438,NOR
7,164.4377060025271,152.01047785156297,LEC
8,128.36167937144154,132.47768063068781,NOR
9,249.015412236937,252.19895912747793,NOR
10,285.5117781692352,294.0036960711111,NOR
11,298.63680480000005,306.1096724122,NOR
12,146.24250084588184,138.22949414069242,LEC
13,192.4647946899306,196.23862407235,NOR
14,258.38414778463977,257.05065502782253,LEC
15,206.5216441405659,195.47959956412276,LEC
16,213.85823053225613,214.85279765879827,NOR
17,209.67275859986535,208.44383710235772,LEC
18,241.05856766938325,245.53779325155557,NOR
19,276.4116277992158,279.57355298807016,NOR
20,296.82632960056435,294.09618933714285,LEC
21,261.0228193988719,258.69127945249795,LEC
22,219.25538733131233,215.73156846759545,LEC
23,201.26157544691358,204.0956465616558,NOR
24,263.44728272716293,268.50686872192927,NOR
