Minisector,HUL,HAM,Fastest
0,300.67836737460937,297.9386930897697,HUL
1,179.97162872382754,191.11028546739345,HAM
2,221.4070157854601,221.35117552346784,HUL
3,274.7130043594068,276.54771287894675,HAM
4,235.37081696101598,228.00285499107898,HUL
5,122.95738369931958,126.62340176389299,HAM
6,194.9133678464302,203.6049084175129,HAM
7,237.08213195353514,241.6376527076363,HAM
8,223.21570890600785,227.90083233166902,HAM
9,225.11512322498228,216.3135001891689,HUL
10,273.2491824413931,273.69590351357374,HAM
11,290.82689015151516,291.3086838005538,HAM
12,299.49306832473485,304.20523368565824,HAM
13,303.82320105820105,318.0813993892478,HAM
14,305.2526186122829,319.83955638352694,HAM
15,237.96001378838417,249.99458070559004,HAM
16,225.10188078955173,229.53995864925983,HAM
17,273.2654319371204,283.279505877059,HAM
18,290.3411948337156,299.5026359690449,HAM
19,143.23968366905703,146.6776474131949,HAM
20,199.22921695437253,201.11134791246957,HAM
21,166.66606563150933,159.81641414301706,HUL
22,148.28901261482557,137.60888274568492,HUL
23,243.56665307604794,244.12141034170656,HAM
24,284.1215213001205,297.36347090055307,HAM
25,,314.5785700571429,HAM
