Minisector,HAM,ALB,Fastest
0,290.44648544861286,282.66955112699816,HAM
1,156.15438809498406,146.9530431362489,HAM
2,166.47790397758232,162.26583742728377,HAM
3,237.45686501485713,240.53829604311957,ALB
4,257.03750332084036,260.5162113629304,ALB
5,238.07268004656086,215.9737835163982,HAM
6,212.9944772882155,197.81904693396908,HAM
7,144.75843127475784,139.29741948096208,HAM
8,225.82407116945296,230.62667040319812,ALB
9,296.52897669956707,297.9030653580247,ALB
10,318.112875747997,323.77259059005684,ALB
11,315.76460665644004,327.47664057867485,ALB
12,310.4151007475556,320.74200626670336,ALB
13,303.40797655171326,297.83706412365564,HAM
14,126.64721523458212,114.54797174382462,HAM
15,119.2664727122883,111.96076862422639,HAM
16,105.35091526109919,110.68492923274283,ALB
17,241.19416406383837,250.73071972576068,ALB
18,303.35480848071325,305.464823048915,ALB
19,319.0553473068646,315.3424077498162,HAM
20,316.0703704177778,315.0,HAM
21,311.4652781807853,308.6014487226664,HAM
22,119.06320039282284,110.97921497038192,HAM
23,200.76705801902986,217.23235374571084,ALB
24,273.53777989176115,274.4161999896618,ALB
