Minisector,VET,SAI,Fastest
0,294.6595756389234,294.92765146320346,SAI
1,255.37095270325386,245.50881435897435,VET
2,200.6224705438048,203.38238383506476,SAI
3,264.93260348953766,267.08665029619516,SAI
4,244.08541583589744,228.8013605659864,VET
5,120.25517157703433,117.47987289010356,VET
6,183.5741491631978,178.7084021057435,VET
7,258.28697924444447,258.90562505777774,SAI
8,287.3118275700095,286.615530417316,VET
9,300.2662698666667,298.94687501333334,VET
10,306.93985356589695,304.6994920141096,VET
11,241.21344878047898,207.46837451305683,VET
12,145.52561797893898,152.01184028526725,SAI
13,257.08478260869566,260.43799861901795,SAI
14,289.59575018461743,288.35435808435375,VET
15,298.481746031746,295.00795130361365,VET
16,294.4981504588191,292.8916080295326,VET
17,271.5841450943723,248.23097445591827,VET
18,187.39459513514635,182.39326988174784,VET
19,190.96049362039687,171.72588312882388,VET
20,180.4268776571947,199.59683943724295,SAI
21,249.17306326390704,237.4445779099801,VET
22,128.94004522333663,122.2251517975964,VET
23,203.80791231736575,216.73266422339105,SAI
24,276.18105497254857,276.3302823654619,SAI
25,289.0,,VET
