Minisector,NOR,SAI,Fastest
0,254.7714910054136,253.42755269604297,NOR
1,281.98999984,281.7495257109719,NOR
2,164.63051495812513,160.82214001935037,NOR
3,170.4039256640285,165.57534289120318,NOR
4,262.0467260626474,261.1453072847153,NOR
5,269.6742700051948,267.0447833748613,NOR
6,221.55049703870034,202.67508041705022,NOR
7,199.09310377931035,190.41998216830802,NOR
8,159.61946117216186,153.15033035218158,NOR
9,227.35724005964929,228.894091381685,SAI
10,277.16626930793655,278.9718816362812,SAI
11,124.78243351247902,120.30669460307638,NOR
12,223.40296511536286,219.09893953580246,NOR
13,274.0445068606061,273.58027412930585,NOR
14,289.60874976,289.8814581866667,SAI
15,295.06541658666663,295.5391665066667,SAI
16,218.76296794074074,220.12438696296297,SAI
17,137.65843051162793,131.51951586877655,NOR
18,140.61458796548257,131.69428514168828,NOR
19,125.51141703483673,120.08684227936509,NOR
20,231.99081496842692,222.26481441975307,NOR
21,260.17500704351636,247.87619219155758,NOR
22,233.53378578416076,224.45112311794873,NOR
23,216.22620488650057,208.94482848470284,NOR
24,144.74605965690773,141.7986455858169,NOR
25,,225.11428205714287,SAI
