Minisector,RUS,HUL,Fastest
0,244.40849207505065,250.42127790225953,HUL
1,284.4680790341818,286.750568329697,HUL
2,181.8553309336312,175.9533998233181,RUS
3,159.20962786166683,158.4875992357509,RUS
4,255.12869014516926,257.3598581655065,HUL
5,264.96192443919716,272.7138263654603,HUL
6,235.41110832245076,242.96032204948315,HUL
7,211.58540100391926,209.05149087257885,RUS
8,161.64891371077314,161.8820144279365,HUL
9,211.31875606471243,214.40592970226749,HUL
10,269.85533969850337,270.280492379798,HUL
11,129.10306334559542,119.13037442175727,RUS
12,207.4512004511611,214.61528102008657,HUL
13,273.41527931759833,277.44887458632036,HUL
14,296.3018326202398,297.5978411119192,HUL
15,306.9305295829801,307.06584318581884,HUL
16,251.696824213665,249.91808013866665,RUS
17,128.57553744133037,129.31748262088618,HUL
18,128.6068882028163,129.0275915030941,HUL
19,116.774340035008,122.08270402251475,HUL
20,221.56414118115484,227.51551258425567,HUL
21,259.82733592613545,261.6903810198783,HUL
22,239.74624956590077,242.51673963280004,HUL
23,215.8748397423029,215.4001961966172,RUS
24,138.84887136305787,137.2999953127105,RUS
25,,209.92000352,HUL
