Minisector,NOR,LAW,Fastest
0,308.7430213422222,308.3658337653231,NOR
1,189.54582891032427,179.28800872615386,NOR
2,111.56317294618017,107.15143637167611,NOR
3,189.11771511343773,199.25610411122128,LAW
4,253.1882381439923,255.20817571571607,LAW
5,282.5428567695238,283.3102023332213,LAW
6,299.3022397696192,298.824034058836,NOR
7,235.63603213561905,238.7829433821888,LAW
8,146.1280794784163,143.5469927438961,NOR
9,228.39055806048455,230.68345139352382,LAW
10,269.62490545015874,267.1751921441976,NOR
11,225.98010543264573,220.038111071809,NOR
12,177.7790875629932,175.2653858057143,NOR
13,108.25343787448281,104.56529196623974,NOR
14,103.91661753102453,104.47439988206568,LAW
15,136.1037887809555,137.61704684656084,LAW
16,111.78247106365964,112.08094617395294,LAW
17,206.3317618583851,204.33729411947843,NOR
18,162.29023210185056,148.28812161324262,NOR
19,147.6967231176407,151.28356486143392,LAW
20,239.69743138533303,241.812803868904,LAW
21,272.9226999737374,273.42253762426185,LAW
22,291.2816954697143,291.62538143666666,LAW
23,302.41171971573687,300.4486029343791,NOR
24,308.1886058597373,304.3460399152941,NOR
25,310.0,306.0,NOR
