Minisector,RUS,PER,Fastest
0,326.1882654585034,322.5801625997114,RUS
1,335.38827164444444,332.0064993443495,RUS
2,335.7666019422679,326.7301013788272,RUS
3,196.5199611364345,200.0737225139065,PER
4,125.84563179567611,132.21234073399518,PER
5,268.03345716043424,268.0280887730403,RUS
6,302.4793732239506,301.0262431403727,RUS
7,318.70966588322983,315.35976558,RUS
8,274.1154882569697,280.1185925875868,PER
9,144.22072531110976,148.53474716462057,PER
10,222.6552383330994,220.0602637419644,RUS
11,231.67949666717064,225.01821705800864,RUS
12,205.12401183899013,201.3558868904762,RUS
13,272.7893604264218,272.639667456,RUS
14,308.0604949316248,307.53186273165994,RUS
15,323.5551337447619,320.1291401020952,RUS
16,265.3340404061111,274.46237236363635,PER
17,223.06474475752654,211.6585470987755,RUS
18,282.4557581643653,277.1858015584416,RUS
19,312.14622058251234,310.4154516888889,RUS
20,325.9541480949357,321.23128566857145,RUS
21,303.8450193220796,306.05449777915817,PER
22,215.2597495602789,210.4651838074459,RUS
23,270.43316266125714,265.3659857072143,RUS
24,307.2864868540488,303.862970552782,RUS
25,319.1562512,315.20357211428575,RUS
