Minisector,LEC,PIA,Fastest
0,269.03541758548755,270.5912150537143,PIA
1,249.33055917928377,235.96959595158526,LEC
2,118.80898722234048,113.8797675976784,LEC
3,167.15712449738376,176.74976078845376,PIA
4,198.8161285503952,186.8917391912189,LEC
5,195.1946039913975,192.29378191816093,LEC
6,263.10566543588124,264.5373784040528,PIA
7,287.4404449879681,286.9522337509297,LEC
8,242.85034999549782,220.83602260244285,LEC
9,142.09556889681124,143.9494825711205,PIA
10,108.39018548828497,110.81475840448813,PIA
11,147.546904845225,148.11728475874483,PIA
12,240.28465353142857,245.41913790539684,PIA
13,152.29644538166752,145.21740643997634,LEC
14,138.66110110782833,142.39625418176533,PIA
15,106.49931243671328,106.52554812039311,PIA
16,210.68582307133948,219.2700657928205,PIA
17,240.48573599670524,225.24855799961907,LEC
18,128.35303820051948,128.8163645647207,PIA
19,237.85130570846698,241.90552402749665,PIA
20,275.7252657960173,275.41047875829895,LEC
21,210.79389371359943,201.36211234930718,LEC
22,138.98880737697283,141.54976575510656,PIA
23,212.7863544093091,210.5106880684643,LEC
24,218.64529847147392,225.38940525405576,PIA
25,254.7285741714286,255.24642925714286,PIA
