Minisector,SAI,HUL,Fastest
0,278.4627191690949,277.1268766043408,SAI
1,298.46063797457543,295.04437982545403,SAI
2,297.38909087996166,292.96572778013984,SAI
3,193.88822444198385,182.70111346352897,SAI
4,121.984666765497,123.78592781572542,HUL
5,236.58592106691006,237.48412916531322,HUL
6,280.35137640221177,280.0013294608677,SAI
7,295.906988228598,292.0496118949552,SAI
8,191.68485846232718,182.62905903970346,SAI
9,148.69951110924617,148.7549876829743,HUL
10,253.1794368720366,252.18570188772446,SAI
11,289.5686260197464,289.3687777699471,SAI
12,303.45206535966247,298.71218644704936,SAI
13,288.3587500380952,281.7190674613564,SAI
14,297.7086239698866,297.7841678708855,HUL
15,292.8340896026446,303.1805167877214,HUL
16,262.5459764050832,253.52873040192495,SAI
17,241.05963096684607,227.14423686172304,SAI
18,277.6991253399586,274.08997457264616,SAI
19,296.4695597371237,295.99552613117413,SAI
20,300.86662917591497,298.9394500251852,SAI
21,249.39170000377132,242.79518445924467,SAI
22,269.4359607564199,263.59931874666665,SAI
23,145.45113951455252,140.97574013227307,SAI
24,224.00800608611348,218.26274748124357,SAI
25,,254.0,HUL
