Minisector,PER,RIC,Fastest
0,299.3724206222222,303.3605354819048,RIC
1,302.32648689301357,306.00172311578945,RIC
2,296.2320802005013,298.9298538160618,RIC
3,220.3596153846154,221.7588164923077,RIC
4,225.11368426348798,223.7671015817153,PER
5,116.70380076070651,118.83555830670252,RIC
6,226.06105764102566,220.59276558017956,PER
7,267.55158730158735,262.98939306666665,PER
8,224.60416689230772,225.61865190840584,RIC
9,124.06691856452726,119.41493848546827,PER
10,241.29275357681158,235.8094985447619,PER
11,238.71511603904545,249.55634133333334,RIC
12,136.36434108527132,133.2031826805475,PER
13,218.5421096980406,217.25390749440183,PER
14,266.7083332848485,264.7184520126984,PER
15,220.08733784088054,220.06916439959045,PER
16,167.70404736,167.7899802017801,RIC
17,238.95929657538133,240.91963148525042,RIC
18,121.2097287199793,121.89669630848584,RIC
19,147.12568711256364,145.78451441313055,PER
20,199.18864187068377,201.98188669411488,RIC
21,254.85903677229436,256.2798589024402,RIC
22,272.61349206349206,273.54366612266665,RIC
23,281.8461058937212,284.85244612250034,RIC
24,291.20041664,293.51495576701757,RIC
25,296.12916586666665,298.3124992,RIC
