Minisector,LEC,GIO,Fastest
0,319.78916671999997,298.9727167285245,LEC
1,247.97538956666668,238.57732069767937,LEC
2,128.10856559418886,129.82421779311954,GIO
3,238.77727237171717,242.16079590978543,GIO
4,182.87930917806563,184.28109072817455,GIO
5,246.59711982304148,242.22343773333333,LEC
6,228.40416662626262,228.53104064024998,GIO
7,256.1807863134121,250.34017022427034,LEC
8,292.58719154567905,285.4760362164309,LEC
9,203.03581606747161,218.3024272,GIO
10,202.43981872681704,196.75908436641222,LEC
11,275.17605448723924,268.86268554088673,LEC
12,204.7834910978586,212.76099365925927,GIO
13,244.57578837098845,240.78778781333332,LEC
14,289.70302987598274,282.6213835194139,LEC
15,313.59335447200874,297.3830668474949,LEC
16,321.4280796753623,303.03483332266666,LEC
17,231.87724241900926,233.48268995180197,GIO
18,269.2752978285714,258.63347810574714,LEC
19,303.27378561398217,287.60180126684264,LEC
20,323.8079862222222,301.1307696,LEC
21,328.3450940049001,304.6517063685988,LEC
22,145.9736262371165,163.78975446355975,GIO
23,223.54812570790097,215.81426329972987,LEC
24,299.23502387429846,280.1311075160494,LEC
25,315.19166720000004,295.33676640149696,LEC
