Minisector,VER,ZHO,Fastest
0,294.9966157521886,312.47390310520433,ZHO
1,216.05775932835218,196.05563406560847,VER
2,233.3262801495591,223.0385100214343,VER
3,277.3173577994478,279.3513102701631,ZHO
4,241.92732812609694,238.9224985474458,VER
5,133.6630549912837,126.6380814281197,VER
6,212.52043569824056,209.1173288817115,VER
7,261.56829195545356,261.6077527433223,ZHO
8,251.46698733602182,238.58470147415778,VER
9,241.05832491745593,233.30992741217287,VER
10,275.88352765084886,272.4783134554497,VER
11,289.6422955577274,287.908361058316,VER
12,297.45618639906024,300.84647727777354,ZHO
13,301.56904765968255,313.38952567111164,ZHO
14,295.39677814923783,313.18819586398723,ZHO
15,259.304627584265,253.2790064312576,VER
16,248.33281112333725,241.16412482057905,VER
17,278.45028876882486,281.0703719089916,ZHO
18,285.38670480246793,304.016266415938,ZHO
19,161.22987560662085,153.01877052203267,VER
20,211.41180323706152,202.12721790828326,VER
21,182.85665483009672,188.6687841274757,ZHO
22,140.42650735409995,136.42172906968483,VER
23,238.48313151685923,234.67220458738768,VER
24,281.54343441454546,290.2785516706629,ZHO
25,293.0,305.2431545904762,ZHO
