Minisector,ALO,HUL,Fastest
0,283.2645293166843,284.7046892946503,HUL
1,119.28449728224062,117.55378486639898,ALO
2,161.86575753604816,159.19244738058663,ALO
3,206.14805473773785,212.00726797682427,HUL
4,168.6296098486331,167.43569607561696,ALO
5,242.62302010702948,243.06185399883734,HUL
6,193.19358192406546,214.4819635985348,HUL
7,140.22892421762066,132.4788799894721,ALO
8,239.13393882144817,232.78863529177488,ALO
9,277.748992066455,275.49601959654996,ALO
10,279.1121614613,288.6806880919651,HUL
11,155.382335213658,158.14559518990802,HUL
12,226.38216493719247,218.10892885309985,ALO
13,272.46986914555555,271.96177306582007,ALO
14,259.9448986402241,270.4341399740464,HUL
15,100.35857890005697,100.98421089781631,HUL
16,211.13470956357725,213.45144535717287,HUL
17,271.70244392431744,268.21196561775514,ALO
18,302.1832691919792,291.5848311774815,ALO
19,316.8703101529191,301.088842921721,ALO
20,324.4036673705495,308.1610432314256,ALO
21,271.87208105820105,293.9424153,HUL
22,150.89027428462077,156.36943116340177,HUL
23,238.12124423148782,228.22711921898738,ALO
24,281.92061627271516,273.435493686303,ALO
25,293.0,287.37666688,ALO
