Minisector,NOR,PIA,Fastest
0,278.237145778319,276.89220436544156,NOR
1,297.02377498744124,295.0629951074517,NOR
2,234.4652011976014,218.819293019166,NOR
3,109.63735250177525,109.30066651839529,NOR
4,124.2532853581793,127.75493551749618,PIA
5,250.01943440871963,244.56551770490668,NOR
6,241.0152542464469,244.88843931192187,PIA
7,121.59979570197522,116.82467490409446,NOR
8,244.9703897020586,241.3842338742857,NOR
9,251.09633181153146,242.1428258968116,NOR
10,208.00731195588244,198.74083371276188,NOR
11,131.97536252901403,135.70079852156132,PIA
12,205.97917232722833,197.9791436798308,NOR
13,259.6738572621,256.6823603410871,NOR
14,111.62951542245705,108.65934389098132,NOR
15,186.5264134000205,181.16059167528786,NOR
16,257.0028712780424,252.21888834035113,NOR
17,288.53783356395604,289.1240567826971,PIA
18,302.8263951879061,308.038172464,PIA
19,308.14640359017545,324.1199822392381,PIA
20,309.31593756,328.977585006814,PIA
21,157.86645354409288,183.9969879290745,PIA
22,143.4687728202919,119.02462356729417,NOR
23,191.03903491444314,199.99095541351818,PIA
24,233.88070164540966,228.03634763676325,NOR
25,,261.60625039999996,PIA
