Minisector,PIA,SAI,Fastest
0,310.0209625242236,307.67213130068563,PIA
1,240.03435913982923,226.38423438896217,PIA
2,130.28995513843418,127.50390174168729,PIA
3,231.03178681360546,231.6664574315052,SAI
4,193.14546252290194,189.88563146230703,PIA
5,250.12198812380953,243.20014023740933,PIA
6,233.88423646875128,224.03837765003175,PIA
7,258.81795003768985,259.66164568832454,SAI
8,295.57988856238734,293.8314831860236,PIA
9,198.54617597247537,199.70482588984063,SAI
10,204.51210004667408,212.84530817270584,SAI
11,276.0991234871593,276.786995214376,SAI
12,218.37568466732785,203.66307183983125,PIA
13,255.10585581230302,255.7050898949726,SAI
14,294.69386458882786,296.404332593813,SAI
15,312.19211518499276,310.6925785120773,PIA
16,312.083682837458,310.9139722490358,PIA
17,205.32576793333465,199.5207537083147,PIA
18,263.4477814493531,264.3283513981799,SAI
19,299.3147245845749,297.46775706209525,PIA
20,313.3263911068783,312.7044822720221,PIA
21,312.7057183238095,314.07604162133333,SAI
22,147.52976872327685,142.1767162696365,PIA
23,234.9692699875329,239.8513712968498,SAI
24,289.12884749150413,293.1767515947215,SAI
