Minisector,HAM,LIN,Fastest
0,304.4949756468966,298.29430525139117,HAM
1,149.15543918851907,147.80362158132345,HAM
2,211.2897926916402,216.7666972521739,LIN
3,288.34985238588234,285.1151402766123,HAM
4,314.44044722779444,318.2293171968298,LIN
5,316.34874986666665,318.67460219272726,LIN
6,175.38556544921812,177.53576071161905,LIN
7,121.25977204136524,118.59332730107472,HAM
8,254.26862438184872,257.1112723882013,LIN
9,296.1442578554622,297.8109532146915,LIN
10,295.45937324733706,301.7112557185434,LIN
11,140.3773908230318,133.91495953937363,HAM
12,181.16343548102503,179.93117768154193,HAM
13,245.33408490496544,246.0599525373374,LIN
14,190.91385123328172,176.14473218917396,HAM
15,190.11106731604394,191.70953493214108,LIN
16,194.75317607665016,189.33087942867724,HAM
17,233.27748691301588,233.99536498875906,LIN
18,278.5853472787301,281.80324838019783,LIN
19,294.38911812879496,298.3645221111688,LIN
20,241.37147694391535,232.56441936855126,HAM
21,194.16515406202686,191.98807464550265,HAM
22,178.52444833232363,191.22381744408463,LIN
23,265.6853615336472,275.2787014933333,LIN
24,303.83411465333336,306.3286930787879,LIN
