Minisector,ALB,PER,Fastest
0,256.0840150634594,255.34620338424608,ALB
1,210.58754478843767,202.89763890883842,ALB
2,216.2769050411021,219.06806743824274,PER
3,260.6646853981723,262.24176055931383,PER
4,273.9155045877551,276.51494147704693,PER
5,214.42859746475077,214.87921505575807,PER
6,94.64959730840387,96.23734295903775,PER
7,185.35690185688466,186.15004671078603,PER
8,269.0346202197701,271.20181316959355,PER
9,291.648322367189,296.20443402832564,PER
10,299.5232892930016,307.7874821456368,PER
11,293.87100781804503,305.43938157472087,PER
12,110.23032840057024,110.82760039842061,PER
13,210.4783564512359,219.63475788669686,PER
14,276.34727892219405,279.25147110538586,PER
15,295.4070041050704,300.36967405714284,PER
16,217.4013695053754,214.48046212219168,ALB
17,124.07940830966338,121.35315412277906,ALB
18,152.16663298626,152.36658506301052,PER
19,250.50117272557205,257.9276096735202,PER
20,157.29734133890105,149.15505585156012,ALB
21,128.04747849679376,127.37243356005725,ALB
22,204.42877000539445,203.87460242358569,ALB
23,206.23808837242234,192.64236695453891,ALB
24,166.0840659895198,160.7766433902322,ALB
