Minisector,SAI,HUL,Fastest
0,284.2613781412448,284.2735578684249,HUL
1,144.63276896772203,151.7582158530572,HUL
2,223.39817688743054,228.90167586083055,HUL
3,282.37726049102304,280.24488575007615,SAI
4,313.2459211064935,312.02078350708075,SAI
5,296.7213670552611,294.78652619957796,SAI
6,157.16688545531463,149.59275688257497,SAI
7,243.46300002942527,244.5099462919224,HUL
8,111.39301185901671,112.91474592885672,HUL
9,173.7552070181061,175.41627325689151,HUL
10,278.10864236345594,275.5028800759338,SAI
11,299.29063113650795,301.8442993406763,HUL
12,217.49673098343433,217.44642214257544,SAI
13,171.13845825851902,172.05205657914567,HUL
14,280.9609590177655,278.6515048938338,SAI
15,313.0808912592208,311.6382347104762,SAI
16,328.156175622774,326.1075618844444,SAI
17,335.4316613276564,332.58759129616163,SAI
18,339.7942176653061,336.99851026219886,SAI
19,336.09304469485716,338.17531248,HUL
20,185.7514846384963,195.26449904909114,HUL
21,183.35350257997425,175.744492355475,SAI
22,282.5595170218128,280.21540561005975,SAI
23,312.2612174700345,311.51517061630415,SAI
24,321.57585008549097,322.64339918035085,HUL
25,317.77499985454546,319.29707096089595,HUL
