Minisector,VET,BOT,Fastest
0,257.9276683515969,258.6628349841239,BOT
1,209.16843031146612,208.00563695700941,VET
2,224.6537047440734,226.1653294070649,BOT
3,264.25234673017945,266.57360612400436,BOT
4,274.05459357886053,273.09466413744644,VET
5,224.2869444523298,217.22456665503597,VET
6,96.14883534292294,98.38561206148566,BOT
7,192.07514562716068,188.8903772243922,VET
8,283.2963365283513,273.42540548124634,VET
9,309.20256779327053,297.77691103906983,VET
10,318.8476818568483,304.4610901894737,VET
11,318.4551471619265,297.65161518730156,VET
12,106.44930951639718,113.90688620337369,BOT
13,218.48098449509038,220.81613020421022,BOT
14,280.6267052812078,278.2782490039648,VET
15,300.58665099871973,292.4862857557217,VET
16,242.75593653870965,214.40512506664084,VET
17,125.09496739771026,127.12220926632197,BOT
18,152.74876403143608,154.11792814062352,BOT
19,257.12623357698163,256.3113366350419,VET
20,155.82148814895788,156.52297124324167,BOT
21,128.47579147079378,130.71787380773773,BOT
22,207.3349270904174,210.28467174417565,BOT
23,209.62152599788712,201.71880915163754,VET
24,169.94519340639656,168.08858262883774,VET
25,232.69583146666668,,VET
