Minisector,BEA,HAD,Fastest
0,295.9843333594228,300.5472787591837,HAD
1,305.42992192,310.76151997380117,HAD
2,236.37525902786598,231.0392199783619,BEA
3,115.84819315527348,158.7283908799176,HAD
4,136.0048186614478,158.0,HAD
5,257.5411320015903,182.55348790995671,BEA
6,253.18486721810902,268.5317741752066,HAD
7,122.08008441274286,154.00324219042957,HAD
8,244.1095262169412,181.09054722846565,BEA
9,248.69327389587303,247.42432390015966,BEA
10,212.67581526260503,238.27808645501165,HAD
11,149.54461768183893,173.7594144939209,HAD
12,200.28333847930094,132.3094205986419,BEA
13,263.3148949442142,246.0356487678596,BEA
14,116.4791545335587,175.13944990702365,HAD
15,180.3503987910101,121.37707460100951,BEA
16,260.7028084917513,225.9354526978997,BEA
17,309.7841495430606,285.6773619829987,BEA
18,318.72941075,325.13808758687657,HAD
19,322.49425546812273,335.8435863810097,HAD
20,326.3391874951111,328.07000136973545,HAD
21,189.37384436308633,316.1655158091811,HAD
22,139.48105274949626,116.5430047840948,BEA
23,183.95882745593445,208.15271617993542,HAD
24,233.50519741575891,181.58421839003663,BEA
25,258.0291658666667,261.33539951084174,HAD
