Minisector,LEC,RIC,Fastest
0,275.69574742054283,280.5654419974455,RIC
1,291.71964281904764,296.32293075839436,RIC
2,283.16954050199837,290.4524997184107,RIC
3,183.69745831501723,175.33583877773626,LEC
4,132.3636095535924,129.18739569149554,LEC
5,244.54791234126318,245.97449125214797,RIC
6,284.25273608200115,295.5614353605707,RIC
7,291.5907730458722,298.13920794024835,RIC
8,180.11602958874624,169.09277674896893,LEC
9,148.48894267179483,149.4276931828459,RIC
10,256.5864360937956,258.298110987137,RIC
11,286.96812789016434,290.5447781757752,RIC
12,295.84568996213517,294.7040188156651,LEC
13,284.9867607535482,281.5078565577618,LEC
14,296.59184386359755,302.38662421969065,RIC
15,293.65850116955295,303.02532563491377,RIC
16,262.10332280685594,247.69676036568035,LEC
17,230.24009678451367,234.57276952135337,RIC
18,281.7393229218385,292.9034570693196,RIC
19,300.5841406029279,321.3155398228479,RIC
20,299.9663647584296,321.49418874073956,RIC
21,231.0531324627275,205.5808765791404,LEC
22,262.3698128278824,257.2923405305429,LEC
23,139.39067606047038,136.7224625474443,LEC
24,220.31854382179182,224.1902446396755,RIC
