Minisector,ALB,BOR,Fastest
0,258.1740246414492,257.11207042527775,ALB
1,133.9320509912945,131.71677699716247,ALB
2,268.00521750747447,266.7933055235873,ALB
3,309.5171683911022,306.8399531375089,ALB
4,307.6606497477249,307.5352399208081,ALB
5,317.5631727180311,314.9478787927273,ALB
6,322.77253255286195,320.1392380688254,ALB
7,321.0430673467565,317.65257118720785,ALB
8,192.5031006257981,213.63358074079457,BOR
9,204.95038151775108,197.84130789918646,ALB
10,182.81075290662318,189.47984771822547,BOR
11,171.90235316481758,163.32660170381504,ALB
12,259.9414830749008,247.11427509703122,ALB
13,279.0612388022105,275.02561078871196,ALB
14,281.4984538573395,278.2867607200977,ALB
15,262.71446728296297,278.0626184504434,BOR
16,170.78606235260548,174.58849804655463,BOR
17,198.00793886250162,202.93064132551422,BOR
18,245.14165355619048,238.98530826969812,ALB
19,292.1990790709024,289.13354034086956,ALB
20,311.6100183970603,308.814950940479,ALB
21,317.547350781893,315.08565523014494,ALB
22,314.6101985206857,313.5643005574603,ALB
23,249.80386227301588,296.02415700784,BOR
24,123.11319886005563,113.83350749011409,ALB
25,,224.3275008,BOR
