Minisector,HAM,VET,Fastest
0,302.4023579608894,306.8757593212121,VET
1,160.62861754139195,162.19166740666455,VET
2,160.53534404472313,164.19592126871743,VET
3,214.7302578605725,210.39488031899046,HAM
4,281.71626052294374,280.87922860845583,HAM
5,295.0666797889054,298.38679109185955,VET
6,153.86618197218223,151.01467905852078,HAM
7,142.57633234924538,140.848924871978,HAM
8,156.6866845555949,164.49945780408828,VET
9,168.13574491045637,155.845714706715,HAM
10,135.342967427839,138.16586867191512,VET
11,127.7271365367481,130.08744416165752,VET
12,154.95912974874688,149.79501478268466,HAM
13,262.8545967209065,261.5499135555555,HAM
14,287.62632576969696,290.0327941646508,VET
15,153.39047416470083,157.21920640000002,VET
16,215.88378244871865,208.10175706784463,HAM
17,161.5256425408678,155.73563622044887,HAM
18,264.2981737290207,264.9690398095238,VET
19,290.04734865454543,289.08513783775015,HAM
20,303.8513425070578,302.2257591161905,HAM
21,312.7883333333333,313.7437500121212,VET
22,318.19166679365077,317.7177633395111,HAM
23,322.82895829333336,328.78786387301585,VET
24,319.74452958911564,334.52884595697134,VET
25,,330.3083338666667,VET
