Minisector,NOR,ANT,Fastest
0,295.9930331243513,290.27443195967305,NOR
1,173.38217128664502,166.79791156234364,NOR
2,177.199034613663,167.20507849517682,NOR
3,252.80521506917393,253.14077814905517,ANT
4,287.37757702702027,286.8940809480671,NOR
5,253.6841254969697,255.9366969028019,ANT
6,229.24943031077254,223.77864945044803,NOR
7,154.96718084466875,154.62053095215592,NOR
8,225.7814968370068,232.63850210197674,ANT
9,280.39660791665705,278.0797617320635,NOR
10,301.3426601732,300.6054871082489,NOR
11,311.701276477193,312.3618605894885,ANT
12,316.6612433801631,318.0634642336088,ANT
13,314.16517138257495,316.34714733913046,ANT
14,138.01268036871068,129.98896074110735,NOR
15,119.51339316631562,122.76145545441324,ANT
16,102.84840162510747,98.61642097383401,NOR
17,234.7718671453968,223.85941350847736,NOR
18,285.0598270657924,280.13869237150186,NOR
19,305.7063211688312,303.9676797380117,NOR
20,316.1916942953651,316.2805423136508,ANT
21,317.91528306646273,320.8707704820189,ANT
22,127.4991159004056,137.28090287888764,ANT
23,207.2156135949384,189.281679099765,NOR
24,272.70026648194954,265.93788403853694,NOR
25,286.5249984,285.41718760000003,NOR
