Minisector,VER,BEA,Fastest
0,285.9995265151515,275.261686188176,VER
1,114.17898827363113,125.72208120218143,BEA
2,164.31739417989417,163.4449149103705,VER
3,203.10720126434413,201.49213202303366,VER
4,167.05876668585185,156.32273345098287,VER
5,239.9358134920635,228.18165961645346,VER
6,194.02457189625656,200.60516859741622,BEA
7,133.90948491612554,128.18928401470149,VER
8,241.23694971997776,238.55750752799423,VER
9,286.86288515406164,281.61996385753315,VER
10,283.51666666666665,284.77069264069263,BEA
11,153.84111360310493,148.4369319386174,VER
12,221.31785047644559,212.6537385439728,VER
13,278.7860812609676,273.62085163559686,VER
14,255.34872534872537,267.9553690119158,BEA
15,102.934542764235,99.81294811198535,VER
16,226.45065789473685,223.4468738031683,VER
17,292.72052789752166,283.5487175554012,VER
18,324.34508928571427,309.1012275333333,VER
19,336.3285714285715,310.77798941798943,VER
20,331.5007727953945,303.46354878185946,VER
21,285.3860294117647,286.4398668534209,BEA
22,154.8015757136289,158.2634888186654,BEA
23,241.71994682016185,228.99051495619045,VER
24,270.59127976190473,277.0751050420168,BEA
25,,282.0,BEA
