Minisector,HAM,LEC,Fastest
0,304.4949756468966,300.4947222044445,HAM
1,149.15543918851907,152.55851679253968,LEC
2,211.2897926916402,210.97986267990382,HAM
3,288.34985238588234,286.1302578944219,HAM
4,314.44044722779444,311.78088507809525,HAM
5,316.34874986666665,312.0963042074074,HAM
6,175.38556544921812,171.76907311583497,HAM
7,121.25977204136524,120.56491904011465,HAM
8,254.26862438184872,253.74668032902997,HAM
9,296.1442578554622,289.5319903051852,HAM
10,295.45937324733706,289.2753807253717,HAM
11,140.3773908230318,135.72277746572243,HAM
12,181.16343548102503,180.85319486036857,HAM
13,245.33408490496544,242.56870424085008,HAM
14,190.91385123328172,185.31654695725106,HAM
15,190.11106731604394,199.37260208496897,LEC
16,194.75317607665016,199.4950343279121,LEC
17,233.27748691301588,236.48490406704764,LEC
18,278.5853472787301,280.7664901402054,LEC
19,294.38911812879496,289.40019207189255,HAM
20,241.37147694391535,241.74484676155842,LEC
21,194.16515406202686,202.93163710085472,LEC
22,178.52444833232363,193.5393992636746,LEC
23,265.6853615336472,272.7288349121693,LEC
24,303.83411465333336,301.4411149543487,HAM
