Minisector,HAM,STR,Fastest
0,290.49380131338984,279.469039108075,HAM
1,109.8853373863579,116.33684935095852,STR
2,165.98260711863097,158.01597116300687,HAM
3,208.17366748104826,207.24954063641388,HAM
4,162.4771784211016,148.6769650638889,HAM
5,243.09150361410016,235.25007030666666,HAM
6,203.50490967720773,205.96368706289107,STR
7,135.2362359284372,118.78988989851551,HAM
8,240.4278527846698,228.47500057076022,HAM
9,286.1168650793651,273.1141439548972,HAM
10,299.37453493181135,289.0836408730159,HAM
11,153.41731398222223,145.48460066123795,HAM
12,222.39413162469674,215.53165458937198,HAM
13,271.6123364802219,268.9592347942315,HAM
14,271.3621428571428,273.9183927619048,STR
15,103.11217821425413,99.33526812487402,HAM
16,213.51502033454545,206.35752095353536,HAM
17,275.2180568917224,267.92574664165255,HAM
18,307.43962184873953,289.2024375932737,HAM
19,322.6787476016618,300.99330016514534,HAM
20,332.2853651139048,306.80751604174003,HAM
21,291.31244019138757,294.2172268907563,STR
22,146.73459089511522,146.5491626856309,HAM
23,231.8481155088298,224.93608070475182,HAM
24,268.2503178723196,270.25908544160404,STR
25,,283.2972224,STR
