Minisector,HAM,PIA,Fastest
0,311.14873911950195,311.9285502630767,PIA
1,323.03232716719765,325.3626397025571,PIA
2,325.8968942109373,330.4895725873555,PIA
3,293.67420098039366,309.43756640699905,PIA
4,162.40802605282073,152.04591849456565,HAM
5,196.44391864067828,188.0227116693081,HAM
6,216.65361249528522,214.5399684065483,HAM
7,256.34020816227314,258.64938255530427,PIA
8,237.62498051090867,232.33484158640366,HAM
9,159.54858087578134,152.8992244157811,HAM
10,203.91565667130794,207.61409797203964,PIA
11,127.02029509581047,118.3933995364529,HAM
12,233.7320390866633,233.77940296858242,PIA
13,176.0043952201929,159.9547472431512,HAM
14,203.74358401830975,211.38489483026748,PIA
15,219.29088727191854,217.47690615290583,HAM
16,259.80250739938276,258.49706676629796,HAM
17,294.11905511071035,285.65502311024835,HAM
18,149.1816156230762,138.4711983473174,HAM
19,152.95770623353147,159.08390654501903,PIA
20,136.66697518649337,138.52724471691383,PIA
21,223.07934648377707,227.04855832746378,PIA
22,242.6553171972418,249.86798048062965,PIA
23,231.4260543644248,233.65930657103425,PIA
24,282.18476222577203,283.2202373281667,PIA
