Minisector,SAI,BOT,Fastest
0,298.76151966535946,306.61128752592595,BOT
1,231.61889179963242,234.31219005507705,BOT
2,132.47858844578113,120.74817404087291,SAI
3,216.1162971059649,213.6416505221989,SAI
4,260.4172662716792,260.7701439081237,BOT
5,285.7643292793651,285.6662618340741,SAI
6,298.48905187321515,295.17230408784314,SAI
7,274.47187038419753,276.3702077288854,BOT
8,169.92221360693236,164.6578221220839,SAI
9,238.89091544177776,236.15299890013654,SAI
10,270.9900145954294,266.6574250105263,SAI
11,262.0746925108846,252.259372193875,SAI
12,205.2775734100585,199.24788830814813,SAI
13,121.70266545524001,119.63467823813217,SAI
14,123.72804445924206,123.55703162769728,SAI
15,156.17963484075537,146.66159216313724,SAI
16,121.79280532509938,128.16863161930138,BOT
17,234.20951905352507,227.8159087474026,SAI
18,170.0728456295596,161.62170769819426,SAI
19,160.95350315567597,166.85574312777143,BOT
20,242.1667422071178,244.41947296268887,BOT
21,270.82825754385965,269.23098569312174,SAI
22,288.95900619871753,286.02536495731096,SAI
23,298.24982133714286,296.0101469549822,SAI
24,303.83835964444444,302.3983631619048,SAI
