Minisector,SAI,VET,Fastest
0,303.7939278588573,302.7381943111111,SAI
1,285.1513888888889,287.3249520395986,VET
2,173.61784951738593,171.5141259974101,SAI
3,196.28823535686274,200.37086595496783,VET
4,216.28266763022953,223.1698263172414,VET
5,265.38050001066665,268.0266408527022,VET
6,235.84899327264367,231.4841972229885,SAI
7,206.02070326666666,200.0419143837381,SAI
8,177.9728629880342,173.6181555649415,SAI
9,156.89249146082892,163.4307514936826,VET
10,187.10995377777778,188.92571144380315,VET
11,194.40796935707445,193.6982762835033,SAI
12,242.8473545537919,237.22991099473572,SAI
13,169.0210862967147,170.45476816733418,VET
14,238.8537703675485,240.58430195132274,VET
15,275.3251405389947,274.26132840966375,SAI
16,272.58422614603177,265.23785597777163,SAI
17,265.63641991813796,256.65169276238333,SAI
18,251.5529322666667,247.3376540839506,SAI
19,254.8689128431844,252.2212965530864,SAI
20,235.25174160681703,255.73100380757438,VET
21,164.19026687607908,216.91782317378133,VET
22,219.14254018031747,198.55759144016514,SAI
23,274.4073830299597,269.93854701714287,SAI
24,295.50652178550723,292.4465340652347,SAI
25,302.0,298.8666663619047,SAI
