Minisector,ALB,GAS,Fastest
0,289.82765551908034,288.6014227677019,ALB
1,306.8122034673737,307.3288093942857,GAS
2,299.13249952,301.42936604444446,GAS
3,187.06028541283678,180.23294614701823,ALB
4,224.39386883460568,213.75603393891626,ALB
5,212.71069788507822,195.670504321427,ALB
6,197.66278154739302,184.07308077440518,ALB
7,221.2442348636457,201.93725300229886,ALB
8,257.3713546222222,249.9389489373052,ALB
9,260.7472467238095,259.42537262222226,ALB
10,177.98391259301496,175.08880313410555,ALB
11,239.77897455186047,238.53788435700622,ALB
12,122.46617098936592,120.16861821421824,ALB
13,228.98095775853506,220.8565635923948,ALB
14,272.3083664188562,272.30007745590063,ALB
15,277.3479166683983,281.3391829898517,GAS
16,214.7529472948911,210.31431957865655,ALB
17,194.8230036413952,179.42772475942982,ALB
18,269.9595733589518,265.69195143022773,ALB
19,293.0445863256236,292.5821427809524,ALB
20,304.4527424203535,305.9676871111111,GAS
21,305.71068588117913,306.2396825396825,GAS
22,260.97876297052176,276.4402854233766,GAS
23,121.02329030730253,115.84141833771726,ALB
24,241.65278632838098,234.4255189098901,ALB
25,272.9,273.04166613333336,GAS
