Minisector,SAI,PIA,Fastest
0,269.59007737111114,272.47528071217397,PIA
1,299.0105802171044,296.3522386825397,SAI
2,312.9809931831513,309.4643837962161,SAI
3,320.64539052,318.9001666346667,SAI
4,325.17952985738526,323.6995715311746,SAI
5,328.69567219563896,327.1017658514285,SAI
6,202.90973874271782,214.09882807404915,PIA
7,102.78765021187627,104.10304246346958,PIA
8,178.61012385060124,183.22607886628572,PIA
9,260.83101451465154,257.34902167987286,SAI
10,291.55870543349204,288.44955030944993,SAI
11,155.79492488557023,155.91794821418236,PIA
12,91.33055443743604,95.68038287484073,PIA
13,111.37839271136714,109.83650146762679,SAI
14,219.81878024888888,212.97378395250703,SAI
15,177.138199643327,182.89110347371772,PIA
16,216.07253080924306,220.0827479005789,PIA
17,169.76838459257863,168.26484299991333,SAI
18,237.1860282651462,236.37557481781863,SAI
19,281.9594015146858,277.30308031026453,SAI
20,252.96776054520055,246.1023006843776,SAI
21,145.59981635952593,139.3297710501625,SAI
22,95.5659930368383,94.26133577922138,SAI
23,120.6048890337733,116.43993681339339,SAI
24,224.39856053206128,218.7626238469546,SAI
25,256.6249984,254.1392850285714,SAI
