Minisector,BOT,OCO,Fastest
0,284.78601239520214,284.28419855875853,BOT
1,258.74786816609424,242.36459073361263,BOT
2,275.2531876560854,267.6863896332362,BOT
3,280.15973419104336,277.6388901925926,BOT
4,135.25822159333632,127.29677190742972,BOT
5,210.95315632284513,208.83751672756063,BOT
6,266.2159702921674,267.477706344256,OCO
7,287.8552565937721,290.28544870247634,OCO
8,296.92896188047285,300.3156249333333,OCO
9,300.99509020061737,305.07232447381875,OCO
10,277.8411443294487,298.59127963466955,OCO
11,100.49598661898544,106.84271367815953,OCO
12,223.8300730935058,199.80791174667323,BOT
13,273.63940308247396,271.9675343955348,BOT
14,273.84120258510586,281.7000181249127,OCO
15,135.35550602603155,133.08672679175942,BOT
16,215.35019891241546,200.37575807373338,BOT
17,263.0778864558997,254.79747888138445,BOT
18,259.3857403541403,256.7053578074074,BOT
19,250.55233379218598,237.34114014649916,BOT
20,152.48152445414914,152.37706166936272,BOT
21,191.99278572647378,174.6338953561812,BOT
22,188.1456455061967,175.73827744067475,BOT
23,201.8916632446017,179.81313453904437,BOT
24,257.60554044628424,240.29541241406758,BOT
25,,270.770832,OCO
